word,phonetic,meaning,category,example,exampleZh
abortion,,人工流产、堕胎,社会,,
abuse of power,,滥用职权,社会,,
academic society,,学术社团,社会,,
altruism,,利他主义、利他,社会,,
an aging population,,人口老龄化,社会,,
asylum,,庇护,社会,,
benevolent,,乐善好施的,社会,,
a benevolent fund,,施善基金,社会,,
a charitable foundation,,慈善基金,社会,,
eleemosynary relief,,施舍性的救济,社会,,
philanthropic contributions,,慈善捐献,社会,,
bigamy,,重婚,社会,,
birth rate,,人口出生率,社会,,
burglar-proof door/antitheft door,,防盗门,社会,,
casuistry,,判断是非,社会,,
chain effect/domino effect,,连锁反应、多米诺骨牌效应,社会,,
charitable,,慈善的、仁慈的,社会,,
civic morality,,社会公德,社会,,
community,,社区,社会,,
community service,,社区服务,社会,,
corruption,,贪污；贪污腐败,社会 / 中国特色政治,,
court of ethics,,道德法庭,社会,,
crime,,犯罪,社会,,
arson,,纵火、纵火罪,社会,,
crimes committed by Mafia-like gangs,,黑恶势力犯罪,社会,,
drug rehabilitation centers,,戒毒所,社会,,
drug traffickers,,毒枭,社会,,
drug-related crimes,,毒品犯罪,社会,,
embezzlement,,盗用公款,社会,,
juvenile delinquency,,青少年犯罪,社会,,
organized crime,,有组织犯罪,社会,,
robbery,,抢劫,社会,,
sexual harassment,,性骚扰,社会,,
shop-lifting,,在商店行窃,社会,,
smuggling,,走私,社会,,
theft,,偷窃行为,社会,,
"demography, larithmics",,人口学、人口统计学,社会,,
size,,数量,社会,,
growth,,增长情况,社会,,
density,,密度,社会,,
distribution,,分布；流通分配,社会 / 经济与改革,,
social demography,,社会人口学,社会,,
economic demography,,经济人口学,社会,,
DINK,,丁克一族,社会,,
discrimination,,歧视,社会,,
age discrimination,,年龄歧视,社会,,
discrimination against women,,歧视妇女,社会,,
feminism,,男女平等主义、女权运动,社会,,
feminist movement,,女权运动,社会,,
femininity,,妇女特质、柔弱型、温柔,社会,,
gender/sexual discrimination,,性别歧视,社会,,
job discrimination,,工作歧视,社会,,
male chauvinism,,大男子主义、男权主义思想,社会,,
masculinity,,男性阳刚之气,社会,,
disparity,,不一致、不同、不等,社会,,
drug abuse,,吸毒,社会,,
egalitarian,,主张人人平等的、平等主义,社会,,
emotion quotient,,情商,社会,,
forum,,论坛,社会,,
favorable location,,地理优势,社会,,
family,,家庭,社会,,
immediate family,,直接家庭成员,社会,,
extended family,,大家庭、扩大的家庭,社会,,
family tree,,家谱、家谱图,社会,,
relative,,亲属、亲戚,社会,,
foster father,,养父,社会,,
legal guardian,,法定监护人,社会,,
stepmother,,继母,社会,,
in-law,,姻亲,社会,,
ex-husband,,前夫,社会,,
adopted daughter,,养女,社会,,
nephew,,侄子、外甥,社会,,
niece,,侄女、外甥女,社会,,
cousin,,堂兄弟姊妹、表兄弟姊妹,社会,,
gambling,,赌博,社会,,
gay,,同性恋者、同性恋者的,社会,,
grant-in-aid,,补助金、赠款,社会,,
geographic location,,地理位置,社会,,
geographic advantage,,地理优势,社会,,
grey income,,灰色收入,社会,,
hardened professional,,惯犯,社会,,
have an extramarital affair/ have an ultra-marriage affairs,,婚外恋,社会,,
hedonism,,享乐主义,社会,,
home for the aged/ seniors’ home,,敬老院,社会,,
illiteracy,,文盲,社会,,
income disparity,,收入分化、贫富分化；贫富悬殊,社会 / 经济与改革,,
infant mortality,,婴儿死亡率,社会,,
IPR/ intellectual property rights,,知识产权,社会,,
piracy,,非法翻印、盗版,社会,,
bootleg,,盗版,社会,,
copyright royalty,,版税、版权费,社会,,
fight against illegal publication,,打非,社会,,
underground publications,,地下出版物,社会,,
anti-fake label,,防伪标识,社会,,
law of the jungle,,弱肉强食法则,社会,,
lawsuit,,诉讼,社会,,
lawyer,,律师,社会,,
attorney,,律师,社会,,
appeal to a higher court,,上诉,社会,,
charge,,控告,社会,,
drop a lawsuit,,撤销控告,社会,,
court of appeals,,上诉法庭,社会,,
solicitor,,初级律师，只能在低级法庭出庭的律师,社会,,
suspect,,犯罪嫌疑人,社会,,
defendant,,被告,社会,,
plaintiff,,起诉人、原告,社会,,
capital punishment,,死刑,社会,,
guilty,,有罪,社会,,
verdict,,裁决、判决书,社会,,
serve one’s term in prison,,服刑,社会,,
bail,,保释,社会,,
fine,,罚款,社会,,
jury,,陪审团,社会,,
juror,,陪审员,社会,,
life sentence,,判处无期徒刑,社会,,
notary,,公证人,社会,,
notarization,,公证,社会,,
make public expose,,曝光,社会,,
material/spiritual culture,,物质、精神文化,社会,,
minimum wage,,最低工资,社会,,
money worship,,拜金主义,社会,,
morality,,道德,社会,,
Pandora’s box,,潘多拉魔盒,社会,,
pluralism,,多元文化论,社会,,
polarization of rich and poor,,贫富悬殊,社会,,
popularity rate,,普及率,社会,,
poverty alleviation,,扶贫,社会,,
poverty relief office,,扶贫办公室,社会,,
racism,,种族主义,社会,,
acculturation,,文化适应,社会,,
assimilation,,同化、同化作用,社会,,
anti-racism education,,反种族主义教育,社会,,
colonialism,,殖民主义,社会,,
ethnic cleansing,,种族清理,社会,,
ethnic group,,同种、同文化之民族,社会,,
ethnocentrism,,民族优越感,社会,,
race,,人种,社会,,
stereotype,,成见,社会,,
genocide,,有计划的灭种和屠杀,社会,,
anti-Semite,,反犹分子、反犹分子的,社会,,
racial discrimination,,种族歧视,社会,,
bias,,偏见,社会,,
reinstatement,,复员、复职,社会,,
sabotage,,阴谋破坏、怠工、破坏,社会,,
single-parent family,,单亲家庭,社会,,
social evils,,社会丑恶现象,社会,,
social welfare,,社会福利,社会,,
food stamps,,食品救济券,社会,,
foreign aid,,外援,社会,,
medicaid,,医疗补助,社会,,
medicare and medicaid,,医保（保健医疗制度和医疗补助制度）,社会,,
social security,,社会保障,社会,,
urban legend,,都市传奇,社会,,
values,,价值观,社会,,
vicious circle,,恶性循环,社会,,
virtuous circle,,良性循环,社会,,
views on life,,人生观,社会,,
way of life/ life style,,生活方式,社会,,
patriotic movement,,爱国运动,社会,,
AA,,制 Dutch treatment/ go Dutch,社会,,
A-share market,,股市场,社会,,
patriotic democratic personages,,爱国民主人士,社会,,
patriotic united front,,爱国统一战线,社会,,
settling-in allowance,,安家费,社会,,
black case work,,暗箱操作,社会,,
to assign priority according to seniority,,按资排辈,社会,,
be white-hot,,白热化,社会,,
sworn brothers,,拜把兄弟,社会,,
put on airs,,摆架子,社会,,
prince charming,,白马王子,社会,,
pay new year’s call,,拜年,社会,,
put on airs/ show off/ keep up appearance,,摆谱,社会,,
shuttle bus,,班车,社会,,
zebra stripe,,斑马线,社会,,
a relocated unit or household,,搬迁户,社会,,
daycare,,半托/日托,社会,,
transport worker,,搬运工人,社会,,
trying to help but causing more trouble in the process,,帮倒忙,社会,,
girl finds a sugar daddy; be a mistress for a rich man; lean on a,,傍 大 款,社会,,
to charter a vehicle; a chartered vehicle,,包车,社会,,
new rich; upstart,,暴发户,社会,,
protective umbrella,,保护伞,社会,,
one's year of birth considered in relation to the Twelve Terrestrial,,本 命 年,社会,,
localization,,本土化,社会,,
strive for a relatively comfortable life,,奔小康,社会,,
bookishness,,本本主义,社会,,
given a cold shoulder,,闭门羹,社会,,
evade tax,,避税,社会,,
avoid doing anything that may arouse suspicion,,避嫌,社会,,
fast food,,便当,社会,,
lottery industry,,博彩、博彩业,社会 / 经济与改革,,
small profits but quick returns; small profits and good sales,,薄利多销,社会,,
the disabled; the differently abled,,残疾人,社会,,
grow up; come of age,,成年,社会,,
city dweller; urbanite,,城市居民,社会,,
single youth above the normal matrimonial age,,大龄青年,社会,,
single parent,,单亲,社会,,
boycott,,抵制运动,社会,,
revoke license,,吊销执照,社会,,
the only child in one’s family,,独生子女,社会,,
coordination and distribution of responsibilities,,分工协作,社会,,
welfare lotteries,,福利彩票,社会,,
citizen; city resident,,公民、市民,社会,,
resident’s booklet,,户口簿,社会,,
commemorative activity,,纪念活动,社会,,
household management service,,家政服务,社会,,
get married,,结婚,社会,,
divorce,,离婚,社会,,
remarry,,再婚,社会,,
neighborhood committee; residence committee,,居委会,社会,,
transient population,,流动人口,社会,,
migrant labor,,民工,社会,,
celebrity,,名人,社会,,
make a living,,谋生,社会,,
surplus rural labor,,农村剩余劳动力；农村富余劳动力,社会 / 经济与改革,,
local police station,,派出所,社会,,
polarization of wealth,,贫富分化,社会,,
beggar,,乞丐,社会,,
abandoned child; foundling,,弃婴,社会,,
puberty,,青春期,社会,,
adolescence,,青少年时代,社会,,
nationwide census,,全国人口普查,社会,,
nationwide fitness campaign,,全民健身运动,社会,,
quality of population,,人口素质,社会,,
daily activities,,日常活动,社会,,
daily life; everyday life,,日常生活,社会,,
anti-porn drive/campaign,,扫黄运动,社会,,
social insurance,,社会保险,社会,,
social status,,社会地位,社会,,
social welfare lotteries,,社会福利彩票,社会,,
social stability,,社会稳定,社会,,
socialize,,社交,社会,,
social activities,,社交活动,社会,,
"infiltrative, subversive and splittist activities",,渗透、颠覆和分裂活动,社会,,
allowance for living expenses ??,,生活津贴,社会,,
be badly off,,生活困难,社会,,
living conditions,,生活条件,社会,,
survival of the fittest,,适者生存,社会,,
life span,,寿命,社会,,
smuggled goods,,水货,社会,,
heart-warming project,,送温暖工程,社会,,
upgrade the ideological and ethical standards,,提高思想道德素质,社会,,
physical labor; manual work,,体力劳动,社会,,
sports lotteries,,体育彩票,社会,,
compatriot,,同胞,社会,,
civility and harmony,,文明祥和,社会,,
migrant rural workers,,务工农民,社会,,
Hope Project,,希望工程,社会,,
voter; electorate,,选民,社会,,
violent crimes,,严重暴力犯罪,社会,,
immigrant,,移民,社会,,
fine tradition,,优秀传统,社会,,
temporary residence permit,,暂住证,社会,,
professional title,,职称,社会,,
population,,人口,社会,,
population control,,人口控制,社会,,
population quality,,人口质量,社会,,
population density,,人口密度,社会,,
population composition,,人口结构,社会,,
natural growth of the population,,人口自然增长,社会,,
negative population growth,,人口负增长,社会,,
zero population growth,,人口零增长,社会,,
natality,,生育,社会,,
family planning,,计划生育,社会,,
better natal and prenatal care and better upbringing,,优生优育,社会,,
fertility,,生育能力,社会,,
infertile; barren; sterile,,无生育力,社会,,
eugenics,,优生学,社会,,
talent; talented person,,人才,社会,,
talent bank; brain bank,,人才库,社会,,
talent exchange,,人才交流,社会,,
talent flow,,人才流动,社会,,
talent market,,人才市场,社会,,
brain bleed,,人才流失,社会,,
brain drain,,人才外流；人才流失,社会 / 教育,,
gap in talents ???,,人才断层,社会,,
social systems in history 25：23,,历史上的社会制度,社会,,
science of history,,史学,社会,,
primitive society,,原始社会,社会,,
matriarchal society,,母系社会,社会,,
patriarchal society,,父系社会,社会,,
slave society,,奴隶社会,社会,,
feudal society,,封建社会,社会,,
capitalist society,,资本主义社会,社会,,
socialist society,,社会主义社会,社会,,
communist society,,共产主义社会,社会,,
social systems,,社会制度,社会,,
monarchy,,君主制,社会,,
parliamentarism,,议会制,社会,,
democratic centralism,,民主集中制,社会,,
system of ownership,,所有制,社会,,
public ownership,,公有制,社会,,
private ownership,,私有制,社会,,
ownership by the whole people,,全民所有制,社会,,
collective ownership,,集体所有制,社会,,
major events in Chinese history,,中国历史上的一些重大事件,社会,,
unification of the country by Emperor Qin Shi Huang,,秦始皇统一中国,社会,,
Opium War,,鸦片战争,社会,,
Tianping Heavenly Kingdom,,太平天国,社会,,
the reform movement of 1898,,戊戌变法,社会,,
the 1911 revolution,,辛亥革命,社会,,
new democratic revolution,,新民主主义革命,社会,,
the May 4th of 1919,,五四运动,社会,,
Nanchang Uprising,,南昌起义,社会,,
September 18th incident,,18 事变,社会,,
Long March,,长征,社会,,
Xi’an Incident,,西安事变,社会,,
Lugouqiao Incident,,卢沟桥事变,社会,,
Nanking massacre1937,,南京大屠杀,社会,,
war of resistance against Japan,,抗日战争,社会,,
Chinese people’s war of liberation,,解放战争,社会,,
land reform; Agrarian reform,,土地改革,社会,,
rectification movement,,整风运动,社会,,
the Great Leap Forward,,大跃进,社会,,
the cultural revolution,,文化大革命,社会,,
the Third Plenary Session of the Eleventh Central Committee,,十一届三中全会,社会,,
a prudent monetary policy,,稳健的货币政策,经济与改革,,
absolute advantage,,绝对优势,经济与改革,,
accounting,,会计学、账目清算、财会,经济与改革,,
accountant,,会计,经济与改革,,
accounting fraud,,作假帐,经济与改革,,
accounting scandal,,财务丑闻,经济与改革,,
financial statement,,财务报表,经济与改革,,
keep the public informed of the financial affairs,,财务公开,经济与改革,,
acquire,,购置、获取、购买、 取得所有权,经济与改革,,
acquisition of assets,,购置资产,经济与改革,,
active balance,,顺差,经济与改革,,
aggregate demand,,总需求,经济与改革,,
aggregate supply,,总供给,经济与改革,,
allocation of financial resources,,金融资源配置,经济与改革,,
ample supply,,供应充裕,经济与改革,,
an average annual increase/ annual return,,年均利润,经济与改革,,
anti-dumping measures,,反倾销措施,经济与改革,,
areas for the market access,,市场准入领域,经济与改革,,
asset,,资产,经济与改革,,
associate company,,联营公司,经济与改革,,
autarky,,自给自足、经济独立,经济与改革,,
authorization bill,,授权书,经济与改革,,
bad loans,,不良贷款,经济与改革,,
banking,,银行业,经济与改革,,
bankruptcy protection,,破产保护,经济与改革,,
boom,,迅速发展,经济与改革,,
brand names,,品牌,经济与改革,,
budget,,预算,经济与改革,,
budget deficit,,预算赤字,经济与改革,,
budget surplus,,预算盈余,经济与改革,,
budgetary items,,预算项目,经济与改革,,
business cycle,,商业周期,经济与改革,,
business fraud,,商业欺诈,经济与改革,,
business mechanism,,创业机制,经济与改革,,
business prototype,,商业原型、商业模型,经济与改革,,
capital,,资本、资金、资产,经济与改革,,
capital flow,,资金流量,经济与改革,,
cash bonuses,,现金奖励,经济与改革,,
cash flow,,现金流量,经济与改革,,
cashier's check,,本票,经济与改革,,
certificated public accountant,,注册会计师,经济与改革,,
commerce clause,,商业条款,经济与改革,,
commercialization,,商品化,经济与改革,,
commodity,,商品,经济与改革,,
common law,,习惯法、不成文法,经济与改革,,
company,,公司,经济与改革,,
corporate,,公司、企业,经济与改革,,
conglomerate company,,集团企业、跨行业大企业,经济与改革,,
firm,,公司，尤指合股合伙公司,经济与改革,,
enterprise,,企业、公司、事业,经济与改革,,
business,,工商企业、商务业务,经济与改革,,
establishment,,公司、企业、商业机构,经济与改革,,
house,,商业机构、出版公司；电子乐的一种 （注：Hip Hop 或 Rap 源于纽约黑人区， House Music,经济与改革 / 文化艺术娱乐,,
outfit,,企业、商业组织,经济与改革,,
venture,,企业,经济与改革,,
comparative advantage,,相对优势,经济与改革,,
competition and comparison,,竞争比较,经济与改革,,
competition mechanism,,竞争机制,经济与改革,,
competition,,竞争,经济与改革,,
contract,,合同,经济与改革,,
consumer’s association,,消费者协会,经济与改革,,
consumer confidence,,消费者信心,经济与改革,,
consumer expectations,,消费预期,经济与改革,,
conventional industries,,传统产业,经济与改革,,
core competitiveness,,核心竞争力,经济与改革,,
cost,,成本,经济与改革,,
cost effectiveness,,成本效应,经济与改革,,
cutting edge,,优势,经济与改革,,
dealer,,经销商,经济与改革,,
deflation,,通货紧缩,经济与改革,,
deposit,,定金、保证金,经济与改革,,
deprecation,,贬值,经济与改革,,
depression,,萧条、经济不景气的一段时间,经济与改革,,
duate,,贬值,经济与改革,,
discount rate,,贴现率,经济与改革,,
diversification of investment,,投资多元化,经济与改革,,
"double, triple, quadruple",,两倍、三倍、四倍,经济与改革,,
economic globalization,,经济全球化,经济与改革,,
economic growth,,经济增长,经济与改革,,
economic leverage,,经济杠杆作用,经济与改革,,
economic regulation,,经济调节,经济与改革,,
economic returns,,经济回报、经济效应,经济与改革,,
economics,,经济学,经济与改革,,
economic ills,,经济弊病,经济与改革,,
effective corporate management,,有效的公司管理,经济与改革,,
loose and tight management,,张弛有度的,经济与改革,,
PR （the public relation）,,公关,经济与改革,,
risk management,,风险管理,经济与改革,,
transparency management,,透明管理,经济与改革,,
the two-tier management system,,双层管理体制,经济与改革,,
top-down management,,自上而下的管理模式,经济与改革,,
make one’s own management decisions,,自主经营,经济与改革,,
managerial and technical staff,,管理技术人员,经济与改革,,
managerial expertise,,管理知识,经济与改革,,
elasticity,,弹性、可塑性、灵活度,经济与改革,,
electronic dealing,,电子交易,经济与改革,,
electronic business,,电子商务,经济与改革,,
elite,,精英,经济与改革,,
emerging market,,新兴市场,经济与改革,,
employment insurance,,就业保险金,经济与改革,,
annexation and reorganization of enterprises,,企业兼并重组,经济与改革,,
corporate/ entrepreneurial culture,,企业文化,经济与改革,,
corporate/ enterprise image,,企业形象,经济与改革,,
cross-national corporation,,跨国公司,经济与改革,,
enterprising spirit; pioneering spirit,,创业精神,经济与改革,,
entrepreneur,,企业家,经济与改革,,
entrepreneurship,,企业家身份,经济与改革,,
foreign capital enterprise,,外资企业,经济与改革,,
foreign invested venture,,外资企业,经济与改革,,
individual initiative,,个人主动性,经济与改革,,
initial capital,,启动资金,经济与改革,,
listing of a company,,企业上市,经济与改革,,
multinational corporation,,跨国公司,经济与改革,,
team spirit,,团队精神,经济与改革,,
transformation,,转型,经济与改革,,
transnational corporation,,跨国公司,经济与改革,,
registered capital,,注册资本,经济与改革,,
overseas funded enterprises,,外资企业,经济与改革,,
fair competition,,公平竞争,经济与改革,,
federation,,联邦,经济与改革,,
financial fraud,,金融欺诈,经济与改革,,
financial crisis,,金融危机,经济与改革,,
financial market,,金融市场,经济与改革,,
bullion market,,金银买卖市场,经济与改革,,
cash market,,现金市场,经济与改革,,
debt market,,债务市场,经济与改革,,
discount market,,贴现市场,经济与改革,,
equity market,,股本市场,经济与改革,,
foreign exchange and derivatives market,,外汇及衍生产品市场,经济与改革,,
foreign exchange market,,外汇市场,经济与改革,,
global financial system,,全球金融体系,经济与改革,,
insurance market,,保险市场,经济与改革,,
securities market,,证券市场,经济与改革,,
fiscal,,财政的,经济与改革,,
fiscal and monetary levers,,财经和货币杠杆,经济与改革,,
fiscal budget,,财政预算,经济与改革,,
fiscal policy,,财经政策、财务方针,经济与改革,,
fiscal year,,财政年度,经济与改革,,
fiscal lever,,财政杠杆,经济与改革,,
fiscal levy,,财政税收,经济与改革,,
financial deficit,,财政赤字,经济与改革,,
fiscal revenue,,财政收入,经济与改革,,
national revenue,,财政收入,经济与改革,,
fixed assets,,固定资产,经济与改革,,
fund capital/venture capital,,资金、资本、风险资金,经济与改革,,
future market,,期货市场,经济与改革,,
generate profit,,创利,经济与改革,,
GNP at factor cost,,按成本要素计算的国内生产总值,经济与改革,,
go public,,上市,经济与改革,,
go to chapter 11,,申请破产保护,经济与改革,,
go under,,倒闭,经济与改革,,
government spending,,政府开支,经济与改革,,
Great Depression,,大萧条,经济与改革,,
Gross domestic product,,国内生产总值,经济与改革,,
Gross national product,,国民生产总值,经济与改革,,
head-hunter,,猎头公司,经济与改革,,
hedge,,保护、防御手段,经济与改革,,
hedge fund,,对冲基金,经济与改革,,
high return,,高收益、高回报,经济与改革,,
holiday economy,,假日经济,经济与改革,,
human capital,,人力资本,经济与改革,,
hyper-inflation,,恶性通货膨胀,经济与改革,,
immediate yield,,直接汇报,经济与改革,,
incentive,,动力,经济与改革,,
industry,,工业、产业、行业,经济与改革,,
advertising industry,,广告业,经济与改革,,
aerospace industry,,航空和航天工业,经济与改革,,
aircraft industry,,飞机制造工业,经济与改革,,
basic industry,,基础工业、重工业,经济与改革,,
book industry,,图书出版业,经济与改革,,
brewing industry,,啤酒酿造工业、酿制工业,经济与改革,,
capital-and-technology-intensive industries,,资金技术密集型产业,经济与改革,,
car industry,,汽车制造工业,经济与改革,,
electronic industry,,电子工业,经济与改革,,
entertainment industry,,娱乐业,经济与改革,,
equipment manufacturing industry,,装备制造业,经济与改革,,
heavy industry,,重工业,经济与改革,,
information industry,,信息产业,经济与改革,,
knowledge-intensive industry,,知识密集性产业,经济与改革,,
light industry,,轻工业,经济与改革,,
manufacturing industry,,制造业,经济与改革,,
monopoly industries,,垄断行业,经济与改革,,
rubber industry,,橡胶工业,经济与改革,,
secondary industry,,第二产业,经济与改革,,
service industry developing in all areas,,服务业全面发展,经济与改革,,
textile industry,,纺织行业,经济与改革,,
tertiary industry,,第三产业,经济与改革,,
tourist industry,,旅游业,经济与改革,,
industrialization,,工业化,经济与改革,,
infrastructure,,基础设施,经济与改革,,
interest cut,,降息,经济与改革,,
interest group,,利益集团,经济与改革,,
interest rate,,利率,经济与改革,,
international competitiveness,,国际竞争力,经济与改革,,
international settlement,,国际结算,经济与改革,,
joint effort,,共同努力,经济与改革,,
joint venture,,合资企业,经济与改革,,
joint stock system,,股份制,经济与改革,,
Keynes,,凯恩斯,经济与改革,,
Keynesian theory,,凯恩斯经济理论,经济与改革,,
labor,,劳动力,经济与改革,,
labor intensive industries,,劳动密集型产业,经济与改革,,
late charge,,滞纳金,经济与改革,,
leasing,,出租业务,经济与改革,,
legal person,,法人,经济与改革,,
legitimacy,,合理性、合法性,经济与改革,,
legitimate rights and interests,,正当权益,经济与改革,,
liability of fault,,过失责任,经济与改革,,
limited liability corporation,,有限责任公司,经济与改革,,
listed companies,,上市公司,经济与改革,,
logistics,,物流,经济与改革,,
Macroeconomic control,,宏观调控,经济与改革,,
Macroeconomics,,宏观经济学,经济与改革,,
make ends meet,,收支平衡、日子过得去,经济与改革,,
marginal return,,边际报酬,经济与改革,,
market,,市场,经济与改革,,
market diversification,,市场多元化,经济与改革,,
market economy,,市场经济,经济与改革,,
market intelligence,,市场情报、市场调查,经济与改革,,
market saturation,,市场饱和,经济与改革,,
market share,,市场占有率、市场份额,经济与改革,,
market supervision,,市场监管,经济与改革,,
marketization,,市场化,经济与改革,,
market-oriented employment mechanisms,,市场导向的就业机制,经济与改革,,
mass production,,批量生产,经济与改革,,
mechanism,,机制,经济与改革,,
merger,,合并,经济与改革,,
merger and bankruptcy,,兼并破产,经济与改革,,
merit,,价值,经济与改革,,
microeconomics,,微观经济学,经济与改革,,
modern market economy,,现代市场经济,经济与改革,,
monetary,,货币的,经济与改革,,
European monetary integration,,欧洲货币一体化,经济与改革,,
convertible currency,,可兑换货币,经济与改革,,
monetary lever,,货币杠杆,经济与改革,,
monetary policy,,货币政策,经济与改革,,
monetization,,货币化,经济与改革,,
withdrawal of currency from circulation,,货币回笼,经济与改革,,
monopoly,,垄断,经济与改革,,
multi-functionality,,多功能性,经济与改革,,
multi-lateral trade negotiation,,多边贸易谈判,经济与改革,,
old age pension,,养老保险制度,经济与改革,,
oligarchy,,寡头政治、寡头政治的执政团,经济与改革,,
oligopoly,,求过于供的市场情况,经济与改革,,
on-the-job training,,岗位培训,经济与改革,,
opportunity cost,,机会成本,经济与改革,,
optimize,,优化,经济与改革,,
overheating,,过热,经济与改革,,
paragon,,模范、典范,经济与改革,,
patent,,专利,经济与改革,,
patent grant,,专利许可,经济与改革,,
patent law,,专利法规,经济与改革,,
pension,,退休金、养老金,经济与改革,,
per capita GDP,,人均国内生产总值,经济与改革,,
per capita income,,人均收入,经济与改革,,
performance,,业绩,经济与改革,,
plunge; dip; down,,猛跌、小跌、下跌,经济与改革,,
portfolio,,一组投资,经济与改革,,
positioning,,定位,经济与改革,,
potential market,,潜在市场,经济与改革,,
practical productive forces,,现实生产力,经济与改革,,
primary productive forces,,第一生产力,经济与改革,,
printing and packaging business,,包装印刷业,经济与改革,,
private enterprise,,私营企业,经济与改革,,
private property,,私人财产,经济与改革,,
private sector,,私营部分,经济与改革,,
privatization,,私有化,经济与改革,,
produce,,农产品,经济与改革,,
productivity,,生产力,经济与改革,,
profit,,利润,经济与改革,,
promotion,,促销,经济与改革,,
propaganda,,宣传,经济与改革,,
proprietary intellectual property rights,,自主知识产权,经济与改革,,
protectionism,,保护主义,经济与改革,,
public sector,,公共部门,经济与改革,,
public services,,公共服务,经济与改革,,
purchasing power,,购买力,经济与改革,,
quality control,,质检,经济与改革,,
raffle,,抽奖售货,经济与改革,,
real economy,,实体经济,经济与改革,,
recession,,衰退、不景气,经济与改革,,
regime,,政权、机制,经济与改革,,
rent,,租金,经济与改革,,
regional protectionism,,地方保护主义,经济与改革,,
resources,,资源,经济与改革,,
restructure,,改组、重组,经济与改革,,
retail gap,,零售空间,经济与改革,,
saturation; be saturated n./ adj.,,饱和,经济与改革,,
sales volume n.,,销售额,经济与改革,,
satellite town n.,,卫星城,经济与改革,,
savings n.,,储蓄,经济与改革,,
scale operation n.,,规模经营,经济与改革,,
scarcity n.,,缺乏,经济与改革,,
securities n.,,证券,经济与改革,,
"stock , bond, securities",,股票， 债券， 证券,经济与改革,,
"securities, options and futures",,证券、期权及期货,经济与改革,,
share A,,股,经济与改革,,
share B,,股,经济与改革,,
bear market,,熊市,经济与改革,,
bull market,,牛市,经济与改革,,
China's Securities Regulatory Commission （csrc）,,中国证监会,经济与改革,,
joint stock company,,参股公司,经济与改革,,
long -term government bonds,,长期国债,经济与改革,,
long- term treasury bonds for construction,,长期建设国债,经济与改革,,
rally,,反弹， 股市价格和成交额在下跌后显着的上升,经济与改革,,
the Dow Jones industrial average,,道琼斯工业指数,经济与改革,,
the Nasdaq composite index,,纳斯达克综合指数,经济与改革,,
the Nikkei average,,日京指数,经济与改革,,
London SE（stock exchange）,,伦敦证券交易所,经济与改革,,
New York se,,纽约证券交易所,经济与改革,,
Shanghai se,,上海证券交易所,经济与改革,,
Shenzhen se,,深圳证券交易所,经济与改革,,
seeking financing by listing on the stock market,,上市融资,经济与改革,,
securities investment,,证券投资,经济与改革,,
state stock reduction; reduce state's stake in listed companies,,国有股减持,经济与改革,,
state-held shares,,国有股,经济与改革,,
stock index,,股票指数,经济与改革,,
stock option,,股票期权,经济与改革,,
treasury bonds （t-bonds）,,国库券,经济与改革,,
the securities and futures ordinance （sfo）,,证券及期货条例,经济与改革,,
separation of powers n.,,权利分离,经济与改革,,
SEC （securities and exchange commission） （,,美） 证券交易委员会,经济与改革,,
slump n./v. （,,经济）衰退，滑坡,经济与改革,,
soar / surge / climb n./v. （,,价格）上涨,经济与改革,,
soho （small office ; home office） soho,,一族（小型办公室和家庭办公室）,经济与改革,,
solvency [ ] n.,,偿付能力,经济与改革,,
sources of investment n.,,投资主体,经济与改革,,
"speculative ad,j.",,投机性的,经济与改革,,
stabilize prices v.,,稳定物价,经济与改革,,
start / build… from scratch v.,,从零开始； 白手起家,经济与改革,,
storage and transport n.,,储运,经济与改革,,
strategic planning n.,,战略部署， 战略计划,经济与改革,,
strong （currency） adj. （,,货币）坚挺,经济与改革,,
strong demand n.,,需求强劲,经济与改革,,
subsidy n.,,补助金，津贴,经济与改革,,
sunrise industry n.,,朝阳产业,经济与改革,,
sunset industry n.,,夕阳产业,经济与改革,,
supply n.,,供给,经济与改革,,
supply side economics n.,,供方经济学,经济与改革,,
24 -hour service n.,,全天候服务,经济与改革,,
tangible benefits n.,,实惠,经济与改革,,
technology-intensive product n.,,技术密集产品,经济与改革,,
tender-invitation n.,,招商,经济与改革,,
the distribution （allocation） of resources n.,,资源配置,经济与改革,,
the economic structure n.,,经济结构,经济与改革,,
the industrial structure n.,,产业结构,经济与改革,,
the macro-control system n.,,宏观调控体系,经济与改革,,
the market system n.,,市场体系,经济与改革,,
the open economy n.,,开放型经济,经济与改革,,
the order of the market economy n.,,市场经济秩序,经济与改革,,
the potentially largest market,,潜在的最大市场,经济与改革,,
the world trade organization,,世贸组织,经济与改革,,
trade n./v.,,贸易,经济与改革,,
ASEAN （Association of South-East Asian Nations）,,东南亚国家联盟,经济与改革,,
ASEAN Free TradeArea,,东盟自由贸易区,经济与改革,,
EU （European Union）,,欧盟,经济与改革,,
chamber of import and export trade,,进出口商会,经济与改革,,
diary product,,奶制品,经济与改革,,
"durable consumer goods, consumer durables",,耐用消费品,经济与改革,,
FMCG （fast-moving consumer goods）,,快速消费品,经济与改革,,
grassland farming,,牧业,经济与改革,,
horticultural product,,园艺品,经济与改革,,
ice-free harbor,,不冻港,经济与改革,,
L/C （letter of credit）,,信用证,经济与改革,,
lamb,,羊羔,经济与改革,,
